Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Description,Description.1,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,Common Cold is a health condition that can affect people and may require medical attention. It usually presents with common symptoms and may need diagnosis and treatment.,"Common Cold is a condition characterized by specific pathophysiological mechanisms. Diagnosis typically involves clinical evaluation and laboratory tests, and treatment may include pharmacological and/or non-pharmacological interventions.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
